idAbt,idBuy,label,proba,abt_name,buy_name
19631,202812646,1,0.0,Bose Second Zone Remote - PMC2,Bose PMCII Remote Control
28340,208456215,1,0.0,Whirlpool White Front Load Washer - WFW9200SWH,Whirlpool 27' DUET WASHER HORIZ AXIS WP
25797,204416098,1,0.0,Garmin GPS Carrying Case - Black Finish - 0101070400,Garmin Lightweight GPS Case - 010-10704-00
32226,205985716,1,0.0,LG DLEX7177RM Cherry Red XL Capacity Electric SteamDryer - DLEX7177RD,LG 27' Front-Load Electric Dryer with 7.3 cu. ft. Capacity
18202,203347464,1,0.0,Canon Optura/Elura Accessory Kit - ACCESSORYKIT,Canon Mini DV Camcorder Starter Kit - 9582A008
24034,50017228,1,0.0,Sony DVD Remote Control For PS2 - Black Finish - 711719707608,PlayStation 2 DVD Remote - 97076
34815,208033806,1,0.0,Pioneer Black Premier Single CD Receiver - DEHP700BT,Pioneer DEHP400UB Car Audio Player
38214,210399746,1,0.0,Canon Black 21.1 Megapixel EOS Digital SLR Camera Body - EOS5DMARKIIBODY,Canon EOS 5D Mark II Digital SLR Camera - 2764B003
25857,202870177,1,0.0,Garmin Nuvi 360 010-10723-06 Black 12 Volt Adapter Cable - 0101072306,Garmin Cigarette Lighter Adapter for GPS
33510,205516750,1,0.0,Monster Mini-To-Mini iCable For Car - AICMINIIP3S,Monster Cable iCable A IC MINI IP-3 S Audio Stereo Cable - 123870
36169,90145444,1,0.0033,Sony Bud Style Headphones In Black - MDREX85LPBLK,Sony Fontopia Earbuds - MDREX81LPB
17653,10382243,1,0.0033,Sony HD DVC Tape - DVM63HD,Sony High Definition Mini DV Cassette - DSL-190-B
32395,206745972,1,0.0033,LG WM3988HWA 4.2 Cu Ft White Full Size SteamWasher And Dryer Combo - WM3988WH,Full Size Steam Washer and Dryer Combination with Allergiene Cycle
33047,201692665,1,0.0033,Canon Black Photo Ink Cartridge - CLI8B,"Canon Ink Cartridge For PIXMA iP4200, iP5200, iP5200R and iP6600D Printers - 0620B002"
14033,90105156,1,0.0033,Garmin Deluxe Carrying Case - Black Finish - 0101023101,Garmin Canvas Deluxe Carry Case - 010-10231-01
34125,205567912,1,0.0067,Belkin Cush Top For Computer Laptop - F8N044ORG,Belkin Orange Cushtop
27965,203136102,1,0.0067,LG Titanium Bottom-Freezer Refrigerator - LRBP1031TT,LG Electronics 10 cu.ft. Cabinet Depth Refrigerator
37091,207390618,1,0.0067,Sony Cyber-Shot Black Digital Camera - DSCT500B,Sony Cyber-shot DSC-T300 Digital Camera - Black - DSCT300/B
36811,208930714,1,0.0067,Nikon Pink 10 Megapixel COOLPIX Digital Camera - COOLPIXS60PNK,"Nikon COOLPIX S60 10 Megapixel Digital Camera w/ 5x Optical Zoom, Optical VR Image Stabilization, 3.5' High Res Touch Panel LCD, HD Pictmotion Slide Shows, & Autofocus and Auto Exposure - Pink - 26132"
32664,209975310,1,0.0067,iHome Black Clock Radio Audio System For iPod - IH9BR,IH9B6R BLACK ALARM CLOCK F/IPODPERPCHARGES DOCKED IPOD REMOTE CONTROL
32279,205985717,1,0.0133,LG DLEX7177WM White XL Capacity Electric SteamDryer - DLEX7177WH,LGs New Electric SteamDryer
17417,90120953,1,0.0133,Sanus 13' - 30' VisionMount Flat Panel TV Silver Wall Mount - VMFS,Sanus Flat Panel TV Wall Mount - VMF
23325,204787744,1,0.0133,TiVo Series2 Dual Tuner Digital Video Recorder - TCD649080,Tivo 80 Hour DVR Recorder
32628,207554111,1,0.0133,Apple 500GB Time Capsule Wireless Hard Drive - MB276LLA,Apple Time Capsule Network Hard Drive - MB277LL/A
36295,90128026,1,0.0133,Sony 8cm MiniDVD-R Camcorder Media 3 Pack - 3DMR30R1H,Sony Mini DVD-R Media - 3DMR30L1H
18564,208715747,1,0.0167,Whirlpool 24' Built-In Dishwasher - DU1055BK,Full Console Dishwasher with 4 Automatic Cycles - DU1055XTSB
21268,203086405,1,0.0167,Garmin StreetPilot C330 Dash Mount - Black Finish - 0101061300,Garmin GPS Receiver Dash Mount - 010-10613-00
18516,202045875,1,0.0167,Panasonic Genius Countertop Microwave In White - NNH965WH,Panasonic NN-H965WF Luxury Full-Size 2-1/5-Cubic-Foot 1250-Watt Microwave Oven- White
35183,208117920,1,0.02,LG 24' LDF6920WW Fully Integrated Built In White Dishwasher - LDF6920WH,LG Dishwasher
35662,207535170,1,0.0233,Garmin Nuvi 205 GPS Navigation System - 0100071740,Garmin nvi 205 Automobile Navigator - 010-00717-40
36796,208154853,1,0.0233,Brenthaven Sling II Titanium Laptop Carrying Bag For 15' MacBook Pro - TR654ZMA,SLING II LAPTOP CASE - 21 INCH - 4.5 INCH - 14.5 INCH - 2221
20466,201692695,1,0.0267,Canon Black Ink Cartridge - Black - PG40BK,Canon Black Ink Cartridge - 0615B002
36789,208154854,1,0.0267,Brenthaven Sling I Titanium Laptop Carrying Bag For 13' MacBook - TR653ZMA,SLING I LAPTOP CASE - 18 INCH - 4.5 INCH - 13 INCH - 2211
37145,208941080,1,0.0267,Garmin Nuvi 765T GPS Navigation System - 0100071520,Garmin AUTO NAV - 010-00715-20
33277,206808445,1,0.0267,Canon Silver Flash Memory Camcorder - FS100S,Canon FS100 Digital Camera - 2699B001
31397,202870172,1,0.03,Garmin Replacement USB Cable - 0101072301,Garmin USB Cable - 010-10723-01
28148,203131413,1,0.03,LG WM3431W All-In-One White Washer And Dryer Combo - WM3431WH,LG Electronics 24' Washer/Dryer Combo: White
32875,202870173,1,0.0333,Garmin 010-10723-02 Carrying Case - 0101072302,Garmin Leather GPS Case
10101,90106172,1,0.036,Omnimount Wall Speaker Mount - 20WLBK,OmniMount Universal Wall Speaker Mounting Kit - 20.0 WALL-B
29827,205664963,1,0.0367,LG Pearl Gray XL Capacity Electric Dryer - DLE5955G,"LG 7.3 cu.ft. Front Control, ST Drum,Chrome Door Trim (Pearl Gray)"
29865,205664972,1,0.0367,LG WM2233W 4.0 Cu Ft White Front Load Washer - WM2233WH,LG 3.8 Cu. Ft. 7-Cycle Extra-Large Capacity Washer - White
32150,207390506,1,0.0367,Denon Networked Audio System With Built-In iPod Dock - S32,Denon S32 Network Ready Table-Top Stereo System - Deno_S-3289349
35175,208117922,1,0.0367,LG 24' LDS4821BB Semi Integrated Built In Black Dishwasher - LDS4821BK,LG Semi-Integrated Electronic Panel with Digital Status Display
34966,207965387,1,0.0367,Samsung MiniDV Digital Camcorder - SCDC382,Samsung SC-D382 Digital Camcorder
32280,205985719,1,0.0398,LG DLEX8377WM White XL Capacity Electric SteamDryer - DLEX8377WH,The LG Electric SteamDryer
36172,207907535,1,0.04,Sony Active Style Headphones In Black - MDRAS50G,Sport Neckband Earbuds - MDR AS50G
18837,203155653,1,0.0433,Cuisinart Countertop Griddler - GR4,Cuisinart GR-4 Griddler Four Multifunctional Cooking Options
29902,205665803,1,0.0467,TiVo HD Digital Video Recorder (180 Hour) - TCD652160,Tivo TIV652160 Tivo High Definition
34961,208114683,1,0.0467,LG LFX25971SW 24.7 Cu. Ft. Smooth White French Door Bottom Freezer Refrigerator - LFX25971WH,LG 25 CF Refrigerator 3 Door White Tall
32228,205985718,1,0.0467,LG DLEX8377NM Navy Blue XL Capacity Electric SteamDryer - DLEX8377BLUE,The LG Electric SteamDryer
36169,205691190,1,0.0467,Sony Bud Style Headphones In Black - MDREX85LPBLK,Sony MDREX81LP Comfort Fit Ear Hanger Headphones- Choose Color (Black)
35165,208117924,1,0.05,LG 24' LDS4821WW Semi Integrated Built In White Dishwasher - LDS4821WH,LG Semi-Integrated Electronic Panel with Digital Status Display Dishwasher
33467,207542599,1,0.0567,Sony Silver Cyber-Shot Digital Camera - DSCS750,Sony DSC-750 Cyber-shot Digital Camera - DSC750
30058,209028436,1,0.0567,Electrolux Pronto 2 In 1 Lightweight Upright Vacuum - EL1000B,ELECTROLUX STICK VACUUM REPLACES EL1000A
20450,201692660,1,0.0567,Canon Color Ink Tank - CL41CL,"Canon Ink Cartridge For PIXMA iP1600, iP6210D and iP6220D Printers - 0617B002"
29829,205664964,1,0.06,LG DLE5955W White XL Capacity Electric Dryer - DLE5955WH,LG Electric Dryer with 9 Drying Programs
16329,210521578,1,0.0633,Whirlpool 24' Built-In Dishwasher - DU1100SS,Whirlpool DU1100XTPS 24' Undercounter Dishwasher (Stainless Steel)
26615,203329569,1,0.0633,Logitech Harmony 1000 Silver Touch Screen Remote Control - H1000,Logitech Harmony 1000 Advanced Universal Remote Control - 966230-0403
25902,202479411,1,0.0665,Lowepro Digital Camera Case In Black - REZO15BK,"Lowepro Rezo 15 Camera Case - MicroFiber, Ripstop Nylon - Black (Black)"
27789,204292470,1,0.0667,Weber Genesis E-310 Liquid Propane Black Outdoor Grill - 3741001,Genesis Series 3741001 60' Freestanding Gas Grill with 637 sq. in. Cooking Surface & 3 Stainless Steel Burners: Black LP Gas
18567,208456203,1,0.0667,Whirlpool 24' Built-In Dishwasher - DU1055SS,Whirlpool DU1055XTSS 6' Console Undercounter Dishwasher (Stainless Steel)
27793,204292473,1,0.07,Weber Genesis S-310 Natural Gas Stainless Steel Outdoor Grill - 3870001,Weber Genesis Series S-310 60' Freestanding Gas Grill
6284,202812567,1,0.07,Bose 27028 161 Bookshelf Pair Speakers In White - 161WH,Boss 161 Speaker
29677,204884519,1,0.0767,Monster iFreePlay Cordless Headphones For iPod Shuffle - AISHHPHONE,Monster Cable iFreePlay Cordless Headphone - AI SH HPHONE
29866,205664973,1,0.0767,LG WM2455HG 4.2 Cu Ft Pearl Gray Front Load Washer - WM2455G,LG 4.0 cu. ft. Capacity Front Load Washer w/ Sanitary cycle
30603,208111279,1,0.0767,Panasonic Integrated White Telephone System With All-Digital Answering System - KXTS620W,CORDED TELEPHONE - KEYPAD - SINGLE LINE OPERATION - LCD DISPLAY - CALLER ID; CAL - KX-TS620W
38500,208787116,1,0.0767,DLO Black HybridShell For iPhone 3G - DLA4010717,Dlo 004-0107 Hybridshell(tm) For Iphone(tm) 3g
36962,207899814,1,0.08,Sanus Black Single-Column AV Component System - VF2012,Wal-mt Furn Comp Shlf - VF2012-B1
21267,203087865,1,0.0857,Garmin Streetpilot C Series Vehicle Suction Mount - Black Finish - 0101060900,Garmin Vehicle Suction Mount - 010-10609-00
34102,205886768,1,0.0867,Nyko Charge Base 2 Charger For PlayStation 3 Controller - 743840830535,PlayStation 3 Charging Dock for PS3 Wireless Controllers by Nyko - 83053
35153,206887905,1,0.0923,Weber Q 320 Liquid Propane Table And Outdoor Grill - 586002,Weber Q 320 Gas Grill
32878,204219387,1,0.093,Garmin Vehicle Suction Cup Mount - 0101093600,Garmin Suction Cup Mount - 010-10936-00
22727,202619749,1,0.0964,Weber Q 300 Liquid Propane Outdoor Grill - 426001,Weber Q 300 Gas Grill
33045,203514304,1,0.1,Canon Red Photo Ink Cartridge - CLI8R,Canon CLI-8 Red Ink Tank For PIXMA Pro9000 Printer - 0626B002
30955,205852387,1,0.1033,Sony Black LocationFree Base Station - LFV30,Sony LFV30 Network Media Player
38806,210536123,1,0.1085,Canon XH A1S Black High Definition HDV Camcorder - XHA1S,Canon XH A1S - 3238B001
37589,209085184,1,0.11,BlueAnt Bluetooth Voice Control Headset - V1,BLUEANT BLUETOOTH HS DUAL MIC NIC - 091004
35022,208117925,1,0.1108,LG Over-The-Range Black Microwave Oven - LMV1680BK,LG 1.6 cu.ft. Over the Range Microwave
36367,208464207,1,0.1118,Canon EOS Rebel XS Black Digital SLR Camera - XSREB1855B,Canon EOS Rebel XS Digital SLR Camera with EF-S 18-55mm 1:3.5-5.6 IS Lens - Black - 2762B003
37142,209194241,1,0.1167,Nikon D90 Black Digital SLR Camera - D90BODY,"Nikon D90 12 Megapixel Digital SLR Camera w/ 3' LCD, Live View, 4.5 fps Burst & In-Camera Image Editing - Body Only - 25446"
